"","V1"
"inaug_BarackObama_1_57",6
"inaug_BarackObama_1_58",6
"inaug_BarackObama_1_59",8
"inaug_BarackObama_1_60",8
"inaug_BarackObama_1_61",8
"inaug_BarackObama_1_62",8
"inaug_BarackObama_1_63",8
"inaug_BarackObama_1_64",8
"inaug_BarackObama_1_65",8
"inaug_BarackObama_1_66",8
"inaug_BarackObama_1_67",8
"inaug_BarackObama_1_68",8
"inaug_BarackObama_1_69",8
"inaug_BarackObama_1_70",8
"inaug_BarackObama_1_71",8
"inaug_BarackObama_1_72",8
"inaug_BarackObama_1_73",3
"inaug_BarackObama_1_74",3
"inaug_BarackObama_1_75",3
"inaug_BarackObama_1_76",3
"inaug_BarackObama_1_77",3
"inaug_BarackObama_1_78",3
"inaug_BarackObama_1_79",1
"inaug_BarackObama_1_80",3
"inaug_BarackObama_1_81",9
"inaug_BarackObama_1_82",1
"inaug_BarackObama_1_83",1
"inaug_BarackObama_1_84",1
"inaug_BarackObama_1_85",1
"inaug_BarackObama_1_86",3
"inaug_BarackObama_1_87",3
"inaug_BarackObama_1_88",6
"inaug_BarackObama_1_89",2
"inaug_BarackObama_1_90",5
"inaug_BarackObama_1_91",2
"inaug_BarackObama_1_92",2
"inaug_BarackObama_1_93",2
"inaug_BarackObama_1_94",2
"inaug_BarackObama_1_95",2
"inaug_BarackObama_1_96",2
"inaug_BarackObama_1_97",2
"inaug_BarackObama_1_98",1
"inaug_BarackObama_1_99",1
"inaug_BarackObama_1_100",10
"inaug_BarackObama_1_101",5
"inaug_BarackObama_1_102",1
"inaug_BarackObama_1_103",2
"inaug_BarackObama_1_104",2
"inaug_BarackObama_1_105",2
"inaug_BarackObama_1_106",8
"inaug_BarackObama_1_107",7
"inaug_BarackObama_1_108",7
"inaug_BarackObama_1_109",7
"inaug_BarackObama_1_110",7
"inaug_BarackObama_1_111",7
"inaug_BarackObama_1_112",8
"inaug_BarackObama_1_113",4
"inaug_BarackObama_1_114",4
"inaug_BarackObama_1_116",4
"inaug_BarackObama_1_118",4
"inaug_BarackObama_1_119",4
"inaug_BarackObama_1_120",4
"inaug_BarackObama_1_121",4
"inaug_BarackObama_1_122",4
"inaug_BarackObama_1_123",4
"inaug_BarackObama_1_124",4
