"","V1"
"inaug_GeorgeBush_1_35",1
"inaug_GeorgeBush_1_36",1
"inaug_GeorgeBush_1_37",1
"inaug_GeorgeBush_1_38",6
"inaug_GeorgeBush_1_39",6
"inaug_GeorgeBush_1_40",2
"inaug_GeorgeBush_1_41",5
"inaug_GeorgeBush_1_42",1
"inaug_GeorgeBush_1_43",2
"inaug_GeorgeBush_1_44",5
"inaug_GeorgeBush_1_45",8
"inaug_GeorgeBush_1_46",8
"inaug_GeorgeBush_1_47",8
"inaug_GeorgeBush_1_48",9
"inaug_GeorgeBush_1_49",9
"inaug_GeorgeBush_1_50",8
"inaug_GeorgeBush_1_51",8
"inaug_GeorgeBush_1_52",8
"inaug_GeorgeBush_1_53",8
"inaug_GeorgeBush_1_54",8
"inaug_GeorgeBush_1_55",9
"inaug_GeorgeBush_1_56",8
"inaug_GeorgeBush_1_57",2
"inaug_GeorgeBush_1_58",7
"inaug_GeorgeBush_1_59",7
"inaug_GeorgeBush_1_60",7
"inaug_GeorgeBush_1_61",7
"inaug_GeorgeBush_1_62",7
"inaug_GeorgeBush_1_63",5
"inaug_GeorgeBush_1_64",5
"inaug_GeorgeBush_1_65",5
"inaug_GeorgeBush_1_66",3
"inaug_GeorgeBush_1_67",9
"inaug_GeorgeBush_1_68",2
"inaug_GeorgeBush_1_69",2
"inaug_GeorgeBush_1_70",2
"inaug_GeorgeBush_1_71",2
"inaug_GeorgeBush_1_72",2
"inaug_GeorgeBush_1_73",2
"inaug_GeorgeBush_1_74",2
"inaug_GeorgeBush_1_75",1
"inaug_GeorgeBush_1_76",8
"inaug_GeorgeBush_1_77",7
"inaug_GeorgeBush_1_78",2
"inaug_GeorgeBush_1_79",2
"inaug_GeorgeBush_1_80",9
"inaug_GeorgeBush_1_81",2
"inaug_GeorgeBush_1_82",5
"inaug_GeorgeBush_1_83",5
"inaug_GeorgeBush_1_84",9
"inaug_GeorgeBush_1_85",8
"inaug_GeorgeBush_1_86",9
"inaug_GeorgeBush_1_87",9
"inaug_GeorgeBush_1_88",9
"inaug_GeorgeBush_1_89",2
"inaug_GeorgeBush_1_90",2
"inaug_GeorgeBush_1_91",9
"inaug_GeorgeBush_1_92",7
"inaug_GeorgeBush_1_93",5
"inaug_GeorgeBush_1_94",1
"inaug_GeorgeBush_1_95",2
"inaug_GeorgeBush_1_96",2
"inaug_GeorgeBush_1_97",2
"inaug_GeorgeBush_1_98",5
"inaug_GeorgeBush_1_99",5
"inaug_GeorgeBush_1_100",5
"inaug_GeorgeBush_1_101",5
"inaug_GeorgeBush_1_102",9
"inaug_GeorgeBush_1_103",9
"inaug_GeorgeBush_1_104",3
"inaug_GeorgeBush_1_105",8
"inaug_GeorgeBush_1_106",6
"inaug_GeorgeBush_1_107",8
"inaug_GeorgeBush_1_108",8
"inaug_GeorgeBush_1_109",8
"inaug_GeorgeBush_1_110",3
"inaug_GeorgeBush_1_111",4
"inaug_GeorgeBush_1_112",3
"inaug_GeorgeBush_1_113",3
"inaug_GeorgeBush_1_114",6
"inaug_GeorgeBush_1_115",2
"inaug_GeorgeBush_1_116",6
"inaug_GeorgeBush_1_117",6
"inaug_GeorgeBush_1_118",2
"inaug_GeorgeBush_1_119",9
"inaug_GeorgeBush_1_120",10
"inaug_GeorgeBush_1_121",10
"inaug_GeorgeBush_1_122",3
"inaug_GeorgeBush_1_123",4
"inaug_GeorgeBush_1_124",5
"inaug_GeorgeBush_1_125",5
"inaug_GeorgeBush_1_126",5
"inaug_GeorgeBush_1_127",8
"inaug_GeorgeBush_1_128",7
"inaug_GeorgeBush_1_129",8
"inaug_GeorgeBush_1_130",8
"inaug_GeorgeBush_1_131",8
"inaug_GeorgeBush_1_132",8
"inaug_GeorgeBush_1_133",5
"inaug_GeorgeBush_1_134",8
"inaug_GeorgeBush_1_135",1
"inaug_GeorgeBush_1_136",3
"inaug_GeorgeBush_1_137",8
"inaug_GeorgeBush_1_138",8
"inaug_GeorgeBush_1_139",8
"inaug_GeorgeBush_1_140",8
"inaug_GeorgeBush_1_141",8
"inaug_GeorgeBush_1_142",8
"inaug_GeorgeBush_1_143",8
"inaug_GeorgeBush_1_144",8
"inaug_GeorgeBush_1_145",8
"inaug_GeorgeBush_1_146",8
"inaug_GeorgeBush_1_147",8
"inaug_GeorgeBush_1_148",2
"inaug_GeorgeBush_1_149",2
"inaug_GeorgeBush_1_150",5
"inaug_GeorgeBush_1_151",7
"inaug_GeorgeBush_1_152",7
"inaug_GeorgeBush_1_153",5
"inaug_GeorgeBush_1_154",7
"inaug_GeorgeBush_1_155",7
"inaug_GeorgeBush_1_156",7
"inaug_GeorgeBush_1_157",9
"inaug_GeorgeBush_1_158",8
"inaug_GeorgeBush_1_159",8
"inaug_GeorgeBush_1_160",8
"inaug_GeorgeBush_1_161",8
"inaug_GeorgeBush_1_162",8
"inaug_GeorgeBush_1_163",4
"inaug_GeorgeBush_1_164",4
"inaug_GeorgeBush_1_165",5
"inaug_WilliamJClinton_1_2",5
"inaug_WilliamJClinton_1_3",5
"inaug_WilliamJClinton_1_4",5
"inaug_WilliamJClinton_1_5",5
"inaug_WilliamJClinton_1_6",5
"inaug_WilliamJClinton_1_7",5
"inaug_WilliamJClinton_1_8",4
"inaug_WilliamJClinton_1_9",1
"inaug_WilliamJClinton_1_10",4
"inaug_WilliamJClinton_1_11",4
"inaug_WilliamJClinton_1_12",4
"inaug_WilliamJClinton_1_13",4
"inaug_WilliamJClinton_1_14",3
"inaug_WilliamJClinton_1_15",3
"inaug_WilliamJClinton_1_16",3
"inaug_WilliamJClinton_1_17",3
"inaug_WilliamJClinton_1_18",3
"inaug_WilliamJClinton_1_19",10
"inaug_WilliamJClinton_1_20",10
"inaug_WilliamJClinton_1_21",3
"inaug_WilliamJClinton_1_22",2
"inaug_WilliamJClinton_1_23",2
"inaug_WilliamJClinton_1_24",2
"inaug_WilliamJClinton_1_25",1
"inaug_WilliamJClinton_1_26",2
"inaug_WilliamJClinton_1_27",3
"inaug_WilliamJClinton_1_28",3
"inaug_WilliamJClinton_1_29",10
"inaug_WilliamJClinton_1_30",5
"inaug_WilliamJClinton_1_31",6
"inaug_WilliamJClinton_1_32",6
"inaug_WilliamJClinton_1_33",6
"inaug_WilliamJClinton_1_34",6
"inaug_WilliamJClinton_1_35",5
"inaug_WilliamJClinton_1_36",5
"inaug_WilliamJClinton_1_37",5
"inaug_WilliamJClinton_1_38",5
"inaug_WilliamJClinton_1_39",5
"inaug_WilliamJClinton_1_40",5
"inaug_WilliamJClinton_1_41",5
"inaug_WilliamJClinton_1_42",5
"inaug_WilliamJClinton_1_43",2
"inaug_WilliamJClinton_1_44",2
"inaug_WilliamJClinton_1_45",2
"inaug_WilliamJClinton_1_46",2
"inaug_WilliamJClinton_1_47",7
"inaug_WilliamJClinton_1_48",1
"inaug_WilliamJClinton_1_49",1
"inaug_WilliamJClinton_1_50",5
"inaug_WilliamJClinton_1_51",2
"inaug_WilliamJClinton_1_52",5
"inaug_WilliamJClinton_1_53",5
"inaug_WilliamJClinton_1_54",8
"inaug_WilliamJClinton_1_55",8
"inaug_WilliamJClinton_1_56",7
"inaug_WilliamJClinton_1_57",7
"inaug_WilliamJClinton_1_58",3
"inaug_WilliamJClinton_1_59",10
"inaug_WilliamJClinton_1_60",7
"inaug_WilliamJClinton_1_61",7
"inaug_WilliamJClinton_1_62",5
"inaug_WilliamJClinton_1_63",1
"inaug_WilliamJClinton_1_64",1
"inaug_WilliamJClinton_1_65",1
"inaug_WilliamJClinton_1_66",5
"inaug_WilliamJClinton_1_67",9
"inaug_WilliamJClinton_1_68",9
"inaug_WilliamJClinton_1_69",9
"inaug_WilliamJClinton_1_70",9
"inaug_WilliamJClinton_1_71",9
"inaug_WilliamJClinton_1_72",4
"inaug_WilliamJClinton_1_73",8
"inaug_WilliamJClinton_1_74",8
"inaug_WilliamJClinton_1_75",5
"inaug_WilliamJClinton_1_76",4
"inaug_WilliamJClinton_1_77",4
"inaug_WilliamJClinton_1_78",4
"inaug_WilliamJClinton_1_79",4
"inaug_WilliamJClinton_1_80",5
"inaug_WilliamJClinton_1_81",5
"inaug_WilliamJClinton_1_82",5
"inaug_WilliamJClinton_1_83",5
"inaug_WilliamJClinton_1_84",5
"inaug_WilliamJClinton_1_85",2
"inaug_WilliamJClinton_1_86",5
"inaug_WilliamJClinton_1_87",2
"inaug_WilliamJClinton_1_88",2
"inaug_WilliamJClinton_1_89",2
"inaug_WilliamJClinton_1_90",2
"inaug_WilliamJClinton_1_91",10
"inaug_WilliamJClinton_1_92",5
"inaug_WilliamJClinton_1_93",10
"inaug_WilliamJClinton_1_94",5
"inaug_WilliamJClinton_1_95",6
"inaug_WilliamJClinton_1_96",6
"inaug_WilliamJClinton_1_97",4
"inaug_WilliamJClinton_1_98",4
"inaug_WilliamJClinton_1_99",8
"inaug_WilliamJClinton_1_100",5
"inaug_WilliamJClinton_1_101",3
"inaug_WilliamJClinton_2_2",6
"inaug_WilliamJClinton_2_3",10
"inaug_WilliamJClinton_2_4",10
"inaug_WilliamJClinton_2_5",6
"inaug_WilliamJClinton_2_6",6
"inaug_WilliamJClinton_2_7",6
"inaug_WilliamJClinton_2_8",6
"inaug_WilliamJClinton_2_9",6
"inaug_WilliamJClinton_2_10",6
"inaug_WilliamJClinton_2_11",6
"inaug_WilliamJClinton_2_12",6
"inaug_WilliamJClinton_2_13",6
"inaug_WilliamJClinton_2_14",6
"inaug_WilliamJClinton_2_15",6
"inaug_WilliamJClinton_2_16",3
"inaug_WilliamJClinton_2_17",9
"inaug_WilliamJClinton_2_18",5
"inaug_WilliamJClinton_2_19",1
"inaug_WilliamJClinton_2_20",1
"inaug_WilliamJClinton_2_21",10
"inaug_WilliamJClinton_2_22",2
"inaug_WilliamJClinton_2_23",6
"inaug_WilliamJClinton_2_24",7
"inaug_WilliamJClinton_2_25",7
"inaug_WilliamJClinton_2_26",7
"inaug_WilliamJClinton_2_27",7
"inaug_WilliamJClinton_2_28",7
"inaug_WilliamJClinton_2_29",7
"inaug_WilliamJClinton_2_30",7
"inaug_WilliamJClinton_2_31",7
"inaug_WilliamJClinton_2_32",7
"inaug_WilliamJClinton_2_33",2
"inaug_WilliamJClinton_2_34",2
"inaug_WilliamJClinton_2_35",2
"inaug_WilliamJClinton_2_36",2
"inaug_WilliamJClinton_2_37",2
"inaug_WilliamJClinton_2_38",3
"inaug_WilliamJClinton_2_39",3
"inaug_WilliamJClinton_2_40",9
"inaug_WilliamJClinton_2_41",9
"inaug_WilliamJClinton_2_42",8
"inaug_WilliamJClinton_2_43",10
"inaug_WilliamJClinton_2_44",10
"inaug_WilliamJClinton_2_45",1
"inaug_WilliamJClinton_2_46",2
"inaug_WilliamJClinton_2_47",1
"inaug_WilliamJClinton_2_48",9
"inaug_WilliamJClinton_2_49",9
"inaug_WilliamJClinton_2_50",9
"inaug_WilliamJClinton_2_51",3
"inaug_WilliamJClinton_2_52",9
"inaug_WilliamJClinton_2_53",9
"inaug_WilliamJClinton_2_54",9
"inaug_WilliamJClinton_2_55",3
"inaug_WilliamJClinton_2_56",3
"inaug_WilliamJClinton_2_57",3
"inaug_WilliamJClinton_2_58",3
"inaug_WilliamJClinton_2_59",2
"inaug_WilliamJClinton_2_60",3
"inaug_WilliamJClinton_2_61",3
"inaug_WilliamJClinton_2_62",6
"inaug_WilliamJClinton_2_63",4
"inaug_WilliamJClinton_2_64",4
"inaug_WilliamJClinton_2_65",9
"inaug_WilliamJClinton_2_66",10
"inaug_WilliamJClinton_2_67",9
"inaug_WilliamJClinton_2_68",9
"inaug_WilliamJClinton_2_69",9
"inaug_WilliamJClinton_2_70",9
"inaug_WilliamJClinton_2_71",9
"inaug_WilliamJClinton_2_72",9
"inaug_WilliamJClinton_2_73",9
"inaug_WilliamJClinton_2_74",2
"inaug_WilliamJClinton_2_75",2
"inaug_WilliamJClinton_2_76",2
"inaug_WilliamJClinton_2_77",3
"inaug_WilliamJClinton_2_78",1
"inaug_WilliamJClinton_2_79",1
"inaug_WilliamJClinton_2_80",10
"inaug_WilliamJClinton_2_81",10
"inaug_WilliamJClinton_2_82",10
"inaug_WilliamJClinton_2_83",10
"inaug_WilliamJClinton_2_84",10
"inaug_WilliamJClinton_2_85",1
"inaug_WilliamJClinton_2_86",1
"inaug_WilliamJClinton_2_87",1
"inaug_WilliamJClinton_2_88",8
"inaug_WilliamJClinton_2_89",8
"inaug_WilliamJClinton_2_90",6
"inaug_WilliamJClinton_2_91",6
"inaug_WilliamJClinton_2_92",8
"inaug_WilliamJClinton_2_93",3
"inaug_WilliamJClinton_2_94",3
"inaug_WilliamJClinton_2_95",3
"inaug_WilliamJClinton_2_96",2
"inaug_WilliamJClinton_2_97",5
"inaug_WilliamJClinton_2_98",5
"inaug_WilliamJClinton_2_99",5
"inaug_WilliamJClinton_2_100",6
"inaug_WilliamJClinton_2_101",6
"inaug_WilliamJClinton_2_102",5
"inaug_WilliamJClinton_2_103",5
"inaug_WilliamJClinton_2_104",5
"inaug_WilliamJClinton_2_105",5
"inaug_WilliamJClinton_2_106",5
"inaug_WilliamJClinton_2_107",10
"inaug_WilliamJClinton_2_108",10
"inaug_WilliamJClinton_2_109",10
"inaug_WilliamJClinton_2_110",1
"inaug_GeorgeWBush_1_2",4
"inaug_GeorgeWBush_1_3",4
"inaug_GeorgeWBush_1_4",4
"inaug_GeorgeWBush_1_5",4
"inaug_GeorgeWBush_1_6",4
"inaug_GeorgeWBush_1_7",4
"inaug_GeorgeWBush_1_8",4
"inaug_GeorgeWBush_1_9",4
"inaug_GeorgeWBush_1_10",2
"inaug_GeorgeWBush_1_11",10
"inaug_GeorgeWBush_1_12",6
"inaug_GeorgeWBush_1_13",2
"inaug_GeorgeWBush_1_14",6
"inaug_GeorgeWBush_1_15",8
"inaug_GeorgeWBush_1_16",4
"inaug_GeorgeWBush_1_17",1
